trade_id,as_of,ts_utc,ticker,side,action_tag,quantity,price,currency,value,quantity_unit,reported_pnl
20251226-b079e67fefa1205b,2025-12-26,2025-12-26T17:26:32Z,NVDA,BUY,open,5.0,190.81,USD,954.05,shares,
20251230-f91a8ce6a34258d9,2025-12-30,2025-12-30T14:50:36Z,MANU,BUY,open,9.0,16.04,USD,144.36,shares,
20251230-6f223b55c8d26bce,2025-12-30,2025-12-30T14:51:02Z,ESLT,BUY,open,2.0,581.92,USD,1163.84,shares,
20251230-61ce81b1b03e211d,2025-12-30,2025-12-30T14:51:27Z,CASY,BUY,open,2.0,569.61,USD,1139.22,shares,
20251230-6a0d553421953fde,2025-12-30,2025-12-30T14:51:53Z,GLD,BUY,open,2.0,401.35,USD,802.7,shares,
20251230-47023b8e5ea82251,2025-12-30,2025-12-30T14:52:09Z,LLY,BUY,open,1.0,1079.07,USD,1079.07,shares,
20251230-61debec0a560537d,2025-12-30,2025-12-30T14:52:36Z,UNH,BUY,open,1.0,335.8,USD,335.8,shares,
20251230-c80b608fb914c7e4,2025-12-30,2025-12-30T14:52:54Z,MSFT,BUY,open,1.0,489.02,USD,489.02,shares,
20251230-1196a49e749eba8b,2025-12-30,2025-12-30T14:53:07Z,FNV,BUY,open,1.0,208.98,USD,208.98,shares,
20251230-178ddb82ff3ff783,2025-12-30,2025-12-30T14:53:23Z,DPZ,BUY,open,1.0,424.56,USD,424.56,shares,
20260106-948c760d89f03f45,2026-01-06,2026-01-06T14:13:51Z,ADA-USD,BUY,open,10006.98161508,0.4297,USD,4300.0,ADA,
20260106-a0ae498c1027aed4,2026-01-06,2026-01-06T14:57:18Z,SUI-USD,SELL,open,1962.56557117,1.9566,USD,3840.0,SUI,
20200521-d24be69bb04d3cfc,2020-05-21,2020-05-21T14:04:55Z,RCL,SELL,open,24.0,43.08,USD,1033.92,shares,
20200521-202c7bba95c094a6,2020-05-21,2020-05-21T14:43:11Z,RCL,BUY,close,24.0,44.63,USD,1033.92,shares,-37.2
20200521-471114700da680df,2020-05-21,2020-05-21T14:50:59Z,RCL,SELL,open,28.0,43.9,USD,1229.2,shares,
