trade_id,ts_utc,as_of,asset_id,ticker,side,action_tag,quantity,price,currency,quantity_unit,route,value_usd,fx_to_usd,price_usd,engine_realized_delta,reported_pnl,diff_engine_minus_reported,note,_s3_key,reported_pnl_usd,diff_engine_minus_reported_usd,abs_diff
20200602-dfff2bc707bfd8ea,2020-06-02T09:18:27Z,2020-06-02,EQH68a8d8186a6c1e52,AIR,SELL,close,20.0,63.1,EUR,shares,SPOT,,1.1125946044921875,70.20471954345703,62.902433967590525,44.6,18.302433967590524,,engine/v1/trades/dt=2020-06-02/trade_20200602-dfff2bc707bfd8ea.json,,,18.302433967590524
20200602-e85ba1c4bbfa009c,2020-06-02T09:20:11Z,2020-06-02,EQH50d73a921c441fa8,BNP,SELL,close,24.0,34.58,EUR,shares,SPOT,,1.1125946044921875,38.47352142333984,27.2520206451415,13.92,13.3320206451415,,engine/v1/trades/dt=2020-06-02/trade_20200602-e85ba1c4bbfa009c.json,,,13.3320206451415
20200602-2f7f35470add6177,2020-06-02T15:06:05Z,2020-06-02,EQHa546ea62324367d4,GLE,SELL,close,1015.0,14.31,EUR,shares,SPOT,,1.1125946044921875,15.921228790283203,-39.9802268385881,-53.31,13.3297731614119,,engine/v1/trades/dt=2020-06-02/trade_20200602-2f7f35470add6177.json,,,13.3297731614119
20200602-1064c1e61156f356,2020-06-02T15:05:53Z,2020-06-02,EQHf14bb7ccefdc6856,CO,BUY,close,28.0,34.62,EUR,shares,SPOT,,1.1125946044921875,38.51802520751953,-34.94163457870465,-27.44,-7.50163457870465,,engine/v1/trades/dt=2020-06-02/trade_20200602-1064c1e61156f356.json,,,7.50163457870465
20200529-7c1528f3f57a6473,2020-05-29T07:33:36Z,2020-05-29,EQH68fd2a5687c2c7d9,RNO,BUY,close,45.0,21.19,EUR,shares,SPOT,,1.1079105138778687,23.47662378907204,15.921843606233494,22.95,-7.028156393766505,,engine/v1/trades/dt=2020-05-29/trade_20200529-7c1528f3f57a6473.json,,,7.028156393766505
20200528-08925934aa7c14f5,2020-05-28T13:27:55Z,2020-05-28,EQHe93aee68b654332f,MC,SELL,close,2.0,380.8,EUR,shares,SPOT,,1.1016855239868164,419.5218475341797,15.08143540620813,11.3,3.7814354062081286,,engine/v1/trades/dt=2020-05-28/trade_20200528-08925934aa7c14f5.json,,,3.7814354062081286
20200601-52a257801db2d240,2020-06-01T17:19:46Z,2020-06-01,CRYPTO:QTUM-USD,QTUM-USD,SELL,close,4801.14194269,1.858,USD,qtum,SPOT,,1.0,1.858,-38.40913554152004,-41.03,2.6208644584799643,,engine/v1/trades/dt=2020-06-01/trade_20200601-52a257801db2d240.json,,,2.6208644584799643
20200629-000fc00633bc7c38,2020-06-29T14:56:40Z,2020-06-29,EQHdf42fb36dc6ea684,JPM,SELL,reduce,14.0,94.1,USD,shares,SPOT,,1.0,94.1,2.1599999999999966,3.84,-1.6800000000000033,,engine/v1/trades/dt=2020-06-29/trade_20200629-000fc00633bc7c38.json,,,1.6800000000000033
20200630-06d66d69b8667ea8,2020-06-30T13:49:09Z,2020-06-30,EQHdf42fb36dc6ea684,JPM,SELL,close,17.0,93.69,USD,shares,SPOT,,1.0,93.69,4.959999999999994,3.28,1.679999999999994,,engine/v1/trades/dt=2020-06-30/trade_20200630-06d66d69b8667ea8.json,,,1.679999999999994
20200612-dc71156de4359ece,2020-06-12T10:49:45Z,2020-06-12,EQH50d73a921c441fa8,BNP,BUY,close,136.0,35.49,EUR,shares,SPOT,,1.1288082599639893,40.061405146121984,-12.28143386840975,-10.88,-1.4014338684097485,,engine/v1/trades/dt=2020-06-12/trade_20200612-dc71156de4359ece.json,,,1.4014338684097485
20200625-4b057f216931480a,2020-06-25T19:23:35Z,2020-06-25,EQHdf42fb36dc6ea684,JPM,SELL,close,5.0,98.0,USD,shares,SPOT,,1.0,98.0,6.15000000000002,4.89,1.2600000000000202,,engine/v1/trades/dt=2020-06-25/trade_20200625-4b057f216931480a.json,,,1.2600000000000202
20200625-1f9246fe630d85f3,2020-06-25T17:09:03Z,2020-06-25,EQHdf42fb36dc6ea684,JPM,SELL,reduce,8.0,97.26,USD,shares,SPOT,,1.0,97.26,0.6399999999999864,1.9,-1.2600000000000136,,engine/v1/trades/dt=2020-06-25/trade_20200625-1f9246fe630d85f3.json,,,1.2600000000000136
20200602-b0f434ca626b3de5,2020-06-02T13:24:54Z,2020-06-02,CRYPTO:QTUM-USD,QTUM-USD,BUY,close,6787.18951724,1.918,USD,qtum,SPOT,,1.0,1.918,-401.33618155697906,-400.16,-1.1761815569790315,,engine/v1/trades/dt=2020-06-02/trade_20200602-b0f434ca626b3de5.json,,,1.1761815569790315
20200612-1fdf7edabd0ae835,2020-06-12T14:50:52Z,2020-06-12,EQH1193212f4e8bb727,AAL,SELL,reduce,300.0,16.61,USD,shares,SPOT,,1.0,16.61,-22.50000000000032,-21.39,-1.1100000000003192,,engine/v1/trades/dt=2020-06-12/trade_20200612-1fdf7edabd0ae835.json,,,1.1100000000003192
20200612-58fe68f1931bdb1b,2020-06-12T14:51:16Z,2020-06-12,EQH1193212f4e8bb727,AAL,SELL,close,27.0,16.64,USD,shares,SPOT,,1.0,16.64,0.0,-1.11,1.11,,engine/v1/trades/dt=2020-06-12/trade_20200612-58fe68f1931bdb1b.json,,,1.11
20200601-618e2c5e61c75f7c,2020-06-01T03:17:36Z,2020-06-01,CRYPTO:QTUM-USD,QTUM-USD,BUY,close,1421.06411778,1.799,USD,qtum,SPOT,,1.0,1.799,2.842128235560003,3.81,-0.9678717644399972,,engine/v1/trades/dt=2020-06-01/trade_20200601-618e2c5e61c75f7c.json,,,0.9678717644399972
20200527-3f5cfa25277c40dd,2020-05-27T13:55:52Z,2020-05-27,EQH4b4dbacd4087c8de,DSY,BUY,close,6.0,146.5,EUR,shares,SPOT,,1.0981770753860474,160.88294154405594,9.224687433242764,8.4,0.8246874332427634,,engine/v1/trades/dt=2020-05-27/trade_20200527-3f5cfa25277c40dd.json,,,0.8246874332427634
20200522-95169175d3ffd6f5,2020-05-22T19:57:52Z,2020-05-22,CRYPTO:QTUM-USD,QTUM-USD,BUY,close,1620.27507766,1.767,USD,qtum,SPOT,,1.0,1.767,16.202750776600016,16.97,-0.7672492233999826,,engine/v1/trades/dt=2020-05-22/trade_20200522-95169175d3ffd6f5.json,,,0.7672492233999826
20200610-a144e50950ab233e,2020-06-10T13:33:42Z,2020-06-10,EQHa546ea62324367d4,GLE,BUY,close,60.0,16.08,EUR,shares,SPOT,,1.1332215070724487,18.222201833724974,2.7197316169740304,2.04,0.6797316169740304,,engine/v1/trades/dt=2020-06-10/trade_20200610-a144e50950ab233e.json,,,0.6797316169740304
20200522-6fa4939c06337354,2020-05-22T21:03:58Z,2020-05-22,CRYPTO:QTUM-USD,QTUM-USD,BUY,close,1420.73928762,1.788,USD,qtum,SPOT,,1.0,1.788,19.890350026680018,19.3,0.5903500266800172,,engine/v1/trades/dt=2020-05-22/trade_20200522-6fa4939c06337354.json,,,0.5903500266800172
20200527-5b55dd8625849fea,2020-05-27T13:52:40Z,2020-05-27,EQH50d73a921c441fa8,BNP,BUY,close,24.0,33.55,EUR,shares,SPOT,,1.0981770753860474,36.843840879201885,4.216999969482572,3.84,0.3769999694825721,,engine/v1/trades/dt=2020-05-27/trade_20200527-5b55dd8625849fea.json,,,0.3769999694825721
20200527-029a6960c1454028,2020-05-27T12:56:41Z,2020-05-27,EQH50d73a921c441fa8,BNP,BUY,close,30.0,33.97,EUR,shares,SPOT,,1.0981770753860474,37.30507525086403,3.6239843487738455,3.3,0.32398434877384563,,engine/v1/trades/dt=2020-05-27/trade_20200527-029a6960c1454028.json,,,0.32398434877384563
20200527-7a26b58ec4ac662e,2020-05-27T13:33:27Z,2020-05-27,EQH50d73a921c441fa8,BNP,BUY,close,32.0,33.84,EUR,shares,SPOT,,1.0981770753860474,37.162312231063844,3.1627499771118437,2.88,0.2827499771118438,,engine/v1/trades/dt=2020-05-27/trade_20200527-7a26b58ec4ac662e.json,,,0.2827499771118438
20200612-8d09af77048a1258,2020-06-12T10:35:24Z,2020-06-12,EQH73a29eafee037f72,SAF,BUY,close,4.0,92.34,EUR,shares,SPOT,,1.1288082599639893,104.23415472507477,2.4382258415221827,2.16,0.27822584152218255,,engine/v1/trades/dt=2020-06-12/trade_20200612-8d09af77048a1258.json,,,0.27822584152218255
20200522-101328decee92c26,2020-05-22T19:39:25Z,2020-05-22,CRYPTO:QTUM-USD,QTUM-USD,BUY,close,2588.85707905,1.785,USD,qtum,SPOT,,1.0,1.785,-0.3339340969598412,-0.11,-0.22393409695984123,,engine/v1/trades/dt=2020-05-22/trade_20200522-101328decee92c26.json,,,0.22393409695984123
20200625-ce1ec532e5340777,2020-06-25T13:36:15Z,2020-06-25,EQHdf42fb36dc6ea684,JPM,SELL,reduce,8.0,95.39,USD,shares,SPOT,,1.0,95.39,4.260000000000019,4.04,0.2200000000000193,,engine/v1/trades/dt=2020-06-25/trade_20200625-ce1ec532e5340777.json,,,0.2200000000000193
