ticker,asset_class,reason,note
FTM-USD,crypto,Not tradable in Quantfury app,
BTC-BRL,crypto,Not available in YahooFinance,
ALFAA,equity,Not tradable in Quantfury app,
CGCBV,equity,Asset changed names,
CCRO3,equity,Not tradable in Quantfury app,
CPLE6,equity,Not tradable in Quantfury app,
CRFB3,equity,Not tradable in Quantfury app,
ECV,equity,Not tradable in Quantfury app,
EMBR3,equity,Not tradable in Quantfury app,
ERJ,equity,Not tradable in Quantfury app,
JBSS3,equity,Not tradable in Quantfury app,
MRFG3,equity,Not tradable in Quantfury app,
NEOEN,equity,Not tradable in Quantfury app,
NTCO3,equity,Not tradable in Quantfury app,
TKWY,equity,Not tradable in Quantfury app,
ASAI,equity,Not tradable in Quantfury app,
AZEK,equity,Not tradable in Quantfury app,
ARCH,equity,Not tradable in Quantfury app,
AZUL,equity,Not tradable in Quantfury app,
AZPN,equity,Not tradable in Quantfury app,
BRFS,equity,Not tradable in Quantfury app,
BRFS3,equity,Not tradable in Quantfury app,
WBA,equity,Asset not publicly traded anymore,
DESP,equity,Asset not publicly traded anymore,
PARA,equity,Asset changed names,
HCP,equity,Asset not publicly traded anymore,
ALTR,equity,Not available in YahooFinance,
ANSS,equity,Asset not publicly traded anymore,
BERY,equity,Asset not publicly traded anymore,
DFS,equity,Asset not publicly traded anymore,
DNB,equity,Asset not publicly traded anymore,
EBR,equity,Asset changed names,
ELET3,equity,Asset changed names,
EDR,equity,Not tradable in Quantfury app,
FL,equity,Asset not publicly traded anymore,
GOGL,equity,Asset not publicly traded anymore,
HES,equity,Asset changed names,
IGT,equity,Asset changed names,
ITCI,equity,Not available in YahooFinance,
JNPR,equity,Asset not publicly traded anymore,Acquired by Hewlett Packard Enterprise (HPE)
JWN,equity,Asset not publicly traded anymore,
NARI,equity,Asset not publicly traded anymore,Acquired by Stryker (SYK)
NEP,equity,Asset changed names,
PDCO,equity,Asset not publicly traded anymore,Acquired by Patient Square Capital
PLL,equity,Asset not publicly traded anymore,
PPBI,equity,Asset not publicly traded anymore,
RDFN,equity,Not tradable in Quantfury app,
SKX,equity,Asset not publicly traded anymore,
SMAR,equity,Asset not publicly traded anymore,Acquired by Blackstone (BX) and Vista Equity Partners
STR,equity,Not tradable in Quantfury app,
SUM,equity,Asset not publicly traded anymore,
TPX,equity,Not tradable in Quantfury app,
WNS,equity,Asset not publicly traded anymore,Acquired by Capgemini (CAP.PA)
X,equity,Asset not publicly traded anymore,Acquired by Nippon Steel (5401.T)
ZI,equity,Asset changed names,
FDJ,equity,Asset changed names,
LANC,equity,Asset changed names, Rebranding
IPG,equity,Asset not publicly traded anymore,Acquired by Omnicom Group Inc. (OMC)
PYCR,equity,Asset not publicly traded anymore,Acquired by Paycheck Inc. (PAYX)
SNV,equity,Asset not publicly traded anymore,Merged with Pinnacle Financial Partners Inc. (PNFP)
ALE,equity,Not tradable in Quantfury app,
SPR,equity,Not tradable in Quantfury app,
K,equity,Not tradable in Quantfury app,
INFA,equity,Not tradable in Quantfury app,
1COV,equity,Not tradable in Quantfury app,
