as_of,ticker,yahoo_ticker,reason,error,asset_class,role,region,currency,quoteType,yahoo_ok,classification,suggested_action,suggested_yahoo_ticker,confidence,why
2026-08-10,TON-USD,TON11419-USD,empty,"no_ohlcv_from_yahoo. meta={'currency': 'USD', 'exchange': 'CCC', 'quoteType': 'CRYPTOCURRENCY'}",crypto,crypto,Binance,USD,CRYPTOCURRENCY,True,OVERRIDE,no-op (already overridden to TON11419-USD),TON11419-USD,HIGH,ticker has locked yahoo_ticker in universe_overrides.csv
2026-08-10,MRK,MRK.DE,fail,yfinance_error[MRK.DE] YFPricesMissingError('$MRK.DE: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10)'),equity,stock,NYSE,USD,EQUITY,True,OVERRIDE,no-op (already overridden to MRK),MRK,HIGH,ticker has locked yahoo_ticker in universe_overrides.csv
2026-08-10,KRN,KRN.DE,fail,yfinance_error[KRN.DE] YFPricesMissingError('$KRN.DE: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10)'),equity,stock,Cboe Europe,EUR,EQUITY,True,INVESTIGATE,inspect reason/error; decide override or exclusion,,LOW,reason=fail; error=yfinance_error[KRN.DE] YFPricesMissingError('$KRN.DE: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10)')
2026-08-10,CAP,CAP.PA,fail,yfinance_error[CAP.PA] YFPricesMissingError('$CAP.PA: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10)'),equity,stock,Cboe Europe,EUR,EQUITY,True,INVESTIGATE,inspect reason/error; decide override or exclusion,,LOW,reason=fail; error=yfinance_error[CAP.PA] YFPricesMissingError('$CAP.PA: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10)')
2026-08-10,GBLB,GBLB.BR,fail,yfinance_error[GBLB.BR] YFPricesMissingError('$GBLB.BR: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10)'),equity,stock,Cboe Europe,EUR,EQUITY,True,INVESTIGATE,inspect reason/error; decide override or exclusion,,LOW,reason=fail; error=yfinance_error[GBLB.BR] YFPricesMissingError('$GBLB.BR: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10)')
2026-08-10,IAC,IAC,fail,"yfinance_error[IAC] YFPricesMissingError('$IAC: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10) (Yahoo error = ""No data found, symbol may be delisted"")')",equity,stock,NASDAQ,NAN,NAN,False,INVESTIGATE,inspect reason/error; decide override or exclusion,,LOW,"reason=fail; error=yfinance_error[IAC] YFPricesMissingError('$IAC: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10) (Yahoo error = ""No data found, symbol may "
2026-08-10,DEC,DEC.PA,fail,yfinance_error[DEC.PA] YFPricesMissingError('$DEC.PA: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10)'),equity,stock,Cboe Europe,EUR,EQUITY,True,OVERRIDE,no-op (already overridden to DEC.PA),DEC.PA,HIGH,ticker has locked yahoo_ticker in universe_overrides.csv
2026-08-10,OLPX,OLPX,fail,yfinance_error[OLPX] YFPricesMissingError('$OLPX: possibly delisted; no price data found  (1d 2026-07-31 -> 2026-08-10)'),equity,stock,NASDAQ,USD,EQUITY,True,INVESTIGATE,inspect reason/error; decide override or exclusion,,LOW,reason=fail; error=yfinance_error[OLPX] YFPricesMissingError('$OLPX: possibly delisted; no price data found  (1d 2026-07-31 -> 2026-08-10)')
2026-08-10,KER,KER.PA,fail,yfinance_error[KER.PA] YFPricesMissingError('$KER.PA: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10)'),equity,stock,Cboe Europe,EUR,EQUITY,True,INVESTIGATE,inspect reason/error; decide override or exclusion,,LOW,reason=fail; error=yfinance_error[KER.PA] YFPricesMissingError('$KER.PA: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10)')
2026-08-10,VNA,VNA.DE,fail,yfinance_error[VNA.DE] YFPricesMissingError('$VNA.DE: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10)'),equity,stock,Cboe Europe,EUR,EQUITY,True,INVESTIGATE,inspect reason/error; decide override or exclusion,,LOW,reason=fail; error=yfinance_error[VNA.DE] YFPricesMissingError('$VNA.DE: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10)')
2026-08-10,TPRO,TPRO.MI,fail,yfinance_error[TPRO.MI] YFPricesMissingError('$TPRO.MI: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10)'),equity,stock,Cboe Europe,EUR,EQUITY,True,INVESTIGATE,inspect reason/error; decide override or exclusion,,LOW,reason=fail; error=yfinance_error[TPRO.MI] YFPricesMissingError('$TPRO.MI: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10)')
2026-08-10,WKL,WKL.AS,fail,yfinance_error[WKL.AS] YFPricesMissingError('$WKL.AS: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10)'),equity,stock,Cboe Europe,EUR,EQUITY,True,INVESTIGATE,inspect reason/error; decide override or exclusion,,LOW,reason=fail; error=yfinance_error[WKL.AS] YFPricesMissingError('$WKL.AS: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10)')
2026-08-10,BVI,BVI.PA,fail,yfinance_error[BVI.PA] YFPricesMissingError('$BVI.PA: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10)'),equity,stock,Cboe Europe,EUR,EQUITY,True,INVESTIGATE,inspect reason/error; decide override or exclusion,,LOW,reason=fail; error=yfinance_error[BVI.PA] YFPricesMissingError('$BVI.PA: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10)')
2026-08-10,AF,AF.PA,fail,yfinance_error[AF.PA] YFPricesMissingError('$AF.PA: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10)'),equity,stock,Cboe Europe,EUR,EQUITY,True,INVESTIGATE,inspect reason/error; decide override or exclusion,,LOW,reason=fail; error=yfinance_error[AF.PA] YFPricesMissingError('$AF.PA: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10)')
2026-08-10,BAS,BAS.DE,fail,yfinance_error[BAS.DE] YFPricesMissingError('$BAS.DE: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10)'),equity,stock,Cboe Europe,EUR,EQUITY,True,INVESTIGATE,inspect reason/error; decide override or exclusion,,LOW,reason=fail; error=yfinance_error[BAS.DE] YFPricesMissingError('$BAS.DE: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10)')
2026-08-10,HO,HO.PA,fail,yfinance_error[HO.PA] YFPricesMissingError('$HO.PA: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10)'),equity,stock,Cboe Europe,EUR,EQUITY,True,INVESTIGATE,inspect reason/error; decide override or exclusion,,LOW,reason=fail; error=yfinance_error[HO.PA] YFPricesMissingError('$HO.PA: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10)')
2026-08-10,CLNX,CLNX.MC,fail,yfinance_error[CLNX.MC] YFPricesMissingError('$CLNX.MC: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10)'),equity,stock,Cboe Europe,EUR,EQUITY,True,INVESTIGATE,inspect reason/error; decide override or exclusion,,LOW,reason=fail; error=yfinance_error[CLNX.MC] YFPricesMissingError('$CLNX.MC: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10)')
2026-08-10,BN,BN.PA,fail,yfinance_error[BN.PA] YFPricesMissingError('$BN.PA: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10)'),equity,stock,NYSE,USD,EQUITY,True,OVERRIDE,no-op (already overridden to BN.PA),BN.PA,HIGH,ticker has locked yahoo_ticker in universe_overrides.csv
2026-08-10,RWE,RWE.DE,fail,yfinance_error[RWE.DE] YFPricesMissingError('$RWE.DE: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10)'),equity,stock,Cboe Europe,EUR,EQUITY,True,INVESTIGATE,inspect reason/error; decide override or exclusion,,LOW,reason=fail; error=yfinance_error[RWE.DE] YFPricesMissingError('$RWE.DE: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10)')
2026-08-10,FRE,FRE.DE,fail,yfinance_error[FRE.DE] YFPricesMissingError('$FRE.DE: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10)'),equity,stock,Cboe Europe,EUR,EQUITY,True,INVESTIGATE,inspect reason/error; decide override or exclusion,,LOW,reason=fail; error=yfinance_error[FRE.DE] YFPricesMissingError('$FRE.DE: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10)')
2026-08-10,DIE,DIE.BR,fail,yfinance_error[DIE.BR] YFPricesMissingError('$DIE.BR: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10)'),equity,stock,Cboe Europe,EUR,EQUITY,True,INVESTIGATE,inspect reason/error; decide override or exclusion,,LOW,reason=fail; error=yfinance_error[DIE.BR] YFPricesMissingError('$DIE.BR: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10)')
2026-08-10,ITX,ITX.MC,fail,yfinance_error[ITX.MC] YFPricesMissingError('$ITX.MC: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10)'),equity,stock,Cboe Europe,EUR,EQUITY,True,INVESTIGATE,inspect reason/error; decide override or exclusion,,LOW,reason=fail; error=yfinance_error[ITX.MC] YFPricesMissingError('$ITX.MC: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10)')
2026-08-10,BG,BG.VI,fail,yfinance_error[BG.VI] YFPricesMissingError('$BG.VI: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10)'),equity,stock,NYSE,USD,EQUITY,True,OVERRIDE,no-op (already overridden to BG.VI),BG.VI,HIGH,ticker has locked yahoo_ticker in universe_overrides.csv
2026-08-10,OR,OR.PA,fail,yfinance_error[OR.PA] YFPricesMissingError('$OR.PA: possibly delisted; no price data found  (1d 2026-08-08 -> 2026-08-10)'),equity,stock,Cboe Europe,EUR,EQUITY,True,OVERRIDE,no-op (already overridden to OR.PA),OR.PA,HIGH,ticker has locked yahoo_ticker in universe_overrides.csv
