ticker,name,asset_class,role,region,yahoo_ticker,yahoo_ok,quoteType,exchange,country,resolver_debug,suggested_action,exclude_reason
ANDR,Andritz AG,equity,stock,Cboe Europe,ANDR.VI,True,EQUITY,VIE,Austria,"{""resolved"": null, ""best_score"": null, ""best_rank"": null, ""best_reason"": null, ""best_meta_quoteType"": null, ""best_meta_exchange"": null, ""best_meta_country"": null}",exclude,unresolvable_on_yahoo (no validated candidate / no price history)
ANE,Corporacion Acciona Energias Renovable SA,equity,stock,Cboe Europe,ANE.MC,True,EQUITY,MCE,Spain,"{""resolved"": null, ""best_score"": null, ""best_rank"": null, ""best_reason"": null, ""best_meta_quoteType"": null, ""best_meta_exchange"": null, ""best_meta_country"": null}",exclude,unresolvable_on_yahoo (no validated candidate / no price history)
BCP,Banco Comercial Português SA,equity,stock,Cboe Europe,BCP.LS,True,EQUITY,LIS,Portugal,"{""resolved"": null, ""best_score"": null, ""best_rank"": null, ""best_reason"": null, ""best_meta_quoteType"": null, ""best_meta_exchange"": null, ""best_meta_country"": null}",exclude,unresolvable_on_yahoo (no validated candidate / no price history)
BCU,Brunello Cucinelli S.p.A.,equity,stock,Cboe Europe,BC.MI,True,EQUITY,MIL,Italy,"{""resolved"": null, ""best_score"": null, ""best_rank"": null, ""best_reason"": null, ""best_meta_quoteType"": null, ""best_meta_exchange"": null, ""best_meta_country"": null}",exclude,unresolvable_on_yahoo (no validated candidate / no price history)
BF,Brown-Forman Corp.,equity,stock,NYSE,BF-B,True,EQUITY,NYQ,United States,"{""resolved"": null, ""best_score"": null, ""best_rank"": null, ""best_reason"": null, ""best_meta_quoteType"": null, ""best_meta_exchange"": null, ""best_meta_country"": null}",exclude,unresolvable_on_yahoo (no validated candidate / no price history)
BG,BAWAG Group AG,equity,stock,Cboe Europe,BG.VI,True,EQUITY,VIE,Austria,"{""resolved"": null, ""best_score"": null, ""best_rank"": null, ""best_reason"": null, ""best_meta_quoteType"": null, ""best_meta_exchange"": null, ""best_meta_country"": null}",exclude,unresolvable_on_yahoo (no validated candidate / no price history)
BIM,BioMerieux SA,equity,stock,Cboe Europe,BIM.PA,True,EQUITY,PAR,France,"{""resolved"": null, ""best_score"": null, ""best_rank"": null, ""best_reason"": null, ""best_meta_quoteType"": null, ""best_meta_exchange"": null, ""best_meta_country"": null}",exclude,unresolvable_on_yahoo (no validated candidate / no price history)
DEC,JC Decaux S.A.,equity,stock,Cboe Europe,DEC.PA,True,EQUITY,PAR,France,"{""resolved"": null, ""best_score"": null, ""best_rank"": null, ""best_reason"": null, ""best_meta_quoteType"": null, ""best_meta_exchange"": null, ""best_meta_country"": null}",exclude,unresolvable_on_yahoo (no validated candidate / no price history)
DHL,DHL Group,equity,stock,Cboe Europe,DHL.DE,True,EQUITY,GER,Germany,"{""resolved"": null, ""best_score"": null, ""best_rank"": null, ""best_reason"": null, ""best_meta_quoteType"": null, ""best_meta_exchange"": null, ""best_meta_country"": null}",exclude,unresolvable_on_yahoo (no validated candidate / no price history)
EBS,Erste Group Bank AG,equity,stock,Cboe Europe,EBS.VI,True,EQUITY,VIE,Austria,"{""resolved"": null, ""best_score"": null, ""best_rank"": null, ""best_reason"": null, ""best_meta_quoteType"": null, ""best_meta_exchange"": null, ""best_meta_country"": null}",exclude,unresolvable_on_yahoo (no validated candidate / no price history)
